+-----------+-------------+---------------------------------------------------------------------+-------+
| id        | keyword     | data                                                                | flags |
| 107       | icesupport  | no                                                                  |    16 | 
| 107       | dtlsenable  | no                                                                  |    17 | 
| 107       | dtlsverify  | no                                                                  |    18 | 
| 107       | dtlssetup   | actpass                                                             |    19 | 
| 107       | encryption  | no                                                                  |    20 | 
| 107       | callgroup   | 10                                                                  |    21 | 
| 107       | pickupgroup | 10                                                                  |    22 | 
| 107       | disallow    |                                                                     |    23 | 
| 107       | allow       |                                                                     |    24 | 
| 107       | dial        | SIP/107                                                             |    25 | 
| 107       | accountcode |                                                                     |    26 | 
| 107       | mailbox     | 107@device                                                          |    27 | 
| 107       | deny        | 0.0.0.0/0.0.0.0                                                     |    28 | 
| 107       | permit      | 0.0.0.0/0.0.0.0                                                     |    29 | 
| 107       | account     | 107                                                                 |    30 | 
| 107       | callerid    | device <107>                                                        |    31 | 
| 108       | secret      | 3428ibo3428                                                         |     2 | 
| 108       | dtmfmode    | auto                                                                |     3 | 
| 108       | canreinvite | no                                                                  |     4 | 
| 108       | context     | from-internal                                                       |     5 | 
| 108       | host        | dynamic                                                             |     6 | 
| 108       | trustrpid   | yes                                                                 |     7 | 
| 108       | sendrpid    | no                                                                  |     8 | 
| 108       | type        | friend                                                              |     9 | 
| 108       | nat         | yes                                                                 |    10 | 
| 108       | port        | 5060                                                                |    11 | 
| 108       | qualify     | yes                                                                 |    12 | 
| 108       | qualifyfreq | 60                                                                  |    13 | 
| 108       | transport   | udp                                                                 |    14 | 
| 108       | avpf        | no                                                                  |    15 | 
| 108       | icesupport  | no                                                                  |    16 | 
| 108       | dtlsenable  | no                                                                  |    17 | 
| 108       | dtlsverify  | no                                                                  |    18 | 
| 108       | dtlssetup   | actpass                                                             |    19 | 
| 108       | encryption  | no                                                                  |    20 | 
| 108       | callgroup   |                                                                     |    21 | 
| 108       | pickupgroup |                                                                     |    22 | 
| 108       | disallow    |                                                                     |    23 | 
| 108       | allow       |                                                                     |    24 | 
| 108       | dial        | SIP/108                                                             |    25 | 
| 108       | accountcode |                                                                     |    26 | 
| 108       | mailbox     | 108@device                                                          |    27 | 
| 108       | deny        | 0.0.0.0/0.0.0.0                                                     |    28 | 
| 108       | permit      | 0.0.0.0/0.0.0.0                                                     |    29 | 
| 108       | account     | 108                                                                 |    30 | 
| 108       | callerid    | device <108>                                                        |    31 | 
| tr-peer-1 | account     | 902167080000                                                        |     2 | 
| tr-peer-1 | username    | 902167080000                                                        |     3 | 
| tr-peer-1 | type        | peer                                                                |     4 | 
| tr-peer-1 | qualify     | yes                                                                 |     5 | 
| tr-peer-1 | secret      | fGx226X2gYbafMU                                                     |     6 | 
| tr-peer-1 | nat         | auto                                                                |     7 | 
| tr-peer-1 | insecure    | very                                                                |     8 | 
| tr-peer-1 | host        | sip.pasifiktelekom.com.tr                                           |     9 | 
| tr-peer-1 | fromuser    | 902167080000                                                        |    10 | 
| tr-peer-1 | fromdomain  | sip.pasifiktelekom.com.tr                                           |    11 | 
| tr-peer-1 | dtmfmode    | rfc2833                                                             |    12 | 
| tr-peer-1 | disallow    | all                                                                 |    13 | 
| tr-peer-1 | allow       | g729&ulaw&alaw                                                      |    14 | 
| tr-reg-1  | register    | 902167080000:fGx226X2gYbafMU@sip.pasifiktelekom.com.tr/902167080000 |     0 | 
+-----------+-------------+---------------------------------------------------------------------+-------+
212 rows in set (0.00 sec)

+-----------+----------+------+-----------+-----------+----------+-----------+-------------+---------+----------+--------------+----------+-----------------+-----------------------+-----------------------+-----------------------+
| extension | password | name | voicemail | ringtimer | noanswer | recording | outboundcid | sipname | mohclass | noanswer_cid | busy_cid | chanunavail_cid | noanswer_dest         | busy_dest             | chanunavail_dest      |
+-----------+----------+------+-----------+-----------+----------+-----------+-------------+---------+----------+--------------+----------+-----------------+-----------------------+-----------------------+-----------------------+
| 101       |          | 101  | novm      |        10 |          |           |             | 101     | default  |              |          |                 | from-did-direct,100,1 | from-did-direct,100,1 | from-did-direct,100,1 | 
| 100       |          | 100  | novm      |         0 |          |           |             | 100     | default  |              |          |                 |                       |                       |                       | 
| 106       |          | 106  | novm      |         0 |          |           |             | 106     | default  |              |          |                 |                       |                       |                       | 
| 103       |          | 103  | novm      |         0 |          |           |             | 103     | default  |              |          |                 |                       |                       |                       | 
| 105       |          | 105  | novm      |         0 |          |           |             | 105     | default  |              |          |                 |                       |                       |                       | 
| 107       |          | 107  | novm      |         0 |          |           |             | 107     | default  |              |          |                 |                       |                       |                       | 
| 108       |          | 108  | novm      |         0 |          |           |             | 108     | default  |              |          |                 |                       |                       |                       | 
+-----------+----------+------+-----------+-----------+----------+-----------+-------------+---------+----------+--------------+----------+-----------------+-----------------------+-----------------------+-----------------------+
7 rows in set (0.00 sec)
